Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	Globicatella	0.002542795330865524	0.001419660143838741	-0.8966301515978563	0.07421040440035204	0.37917724876092285
Group2_vs_Group1	Alkalibacterium	2.0076679013836588e-5	8.87979297396952e-6	0.8305366492169556	0.1029365924215032	0.4230167995131847
Group2_vs_Group1	Anaerofilum	1.76337282503737e-6	5.409241898177504e-6	0.727691706076153	0.0912668785941472	0.46632711690440176
Group2_vs_Group1	Defluviitaleaceae UCG-011	3.8540659761313263e-5	1.0744853115458103e-4	0.6769988045166937	0.11304393827687811	0.5775967649183553
Group2_vs_Group1	Erysipelotrichaceae UCG-006	0.0012782424154430493	0.002541306390046986	0.5041981878924193	0.1944842507844647	0.7992308992091507
Group2_vs_Group1	Devosia	1.6444161662212557e-4	1.6966491851202673e-5	-0.6505562367532912	0.20060090685728302	0.8243672303697106
Group2_vs_Group1	Brevibacterium	6.992518295951002e-4	4.930751815606074e-4	-0.7236825735561342	0.19217831687976003	0.8970086542699538
Group2_vs_Group1	Unclassified	0.005045907057563256	0.0038677902609048345	-0.49804653215264716	0.17838280547990806	0.9114449915031799
Group2_vs_Group1	Bacteroides	4.5635339264116264e-4	9.86242161594033e-4	0.6877448402129619	0.18217802698564167	0.9308366342332057
Group2_vs_Group1	Fusobacterium	2.6497840858693723e-5	9.059503982775959e-6	-0.5277346457747815	0.24236751789478378	0.996006661129659
Group2_vs_Group1	Fusicatenibacter	3.553984623834313e-4	4.051787518982416e-5	-0.9356550552932791	1	1
Group2_vs_Group1	Lachnospiraceae FCS020 group	1.0197927925284701e-4	2.4109114056755986e-5	-0.6783142844130475	1	1
Group2_vs_Group1	Lachnospiraceae UCG-002	1.3644392469612236e-4	1.130585267688858e-4	-0.3987286026693375	1	1
Group2_vs_Group1	[Ruminococcus] torques group	0.002303523000964571	0.0036939151339313372	-0.05412668474213372	1	1
Group2_vs_Group1	Shuttleworthia	5.092540278768958e-4	3.7653067122312155e-4	-0.7679031125641846	1	1
Group2_vs_Group1	Lachnospiraceae UCG-004	7.39358814308355e-6	2.0792572911302194e-5	0.4797045844627387	0.26814049762298886	1
Group2_vs_Group1	Butyrivibrio	3.5310946640798057e-05	6.882482698236443e-5	0.18787074721291652	1	1
Group2_vs_Group1	Oribacterium	6.191352963340743e-5	2.546695783282648e-5	-0.5127498410152532	1	1
Group2_vs_Group1	Lachnospiraceae NK3A20 group	7.790723030604127e-4	4.978939188924599e-4	-0.9468424610382873	1	1
Group2_vs_Group1	Acetitomaculum	4.793917821643143e-5	3.230709467202004e-6	-0.5907012720224729	1	1
Group2_vs_Group1	Anaerostipes	9.668339034543449e-5	1.2010199065389794e-4	-0.21195508710906039	1	1
Group2_vs_Group1	[Eubacterium] xylanophilum group	7.67458105345218e-5	3.619285946580912e-5	-0.22396220887607698	1	1
Group2_vs_Group1	[Eubacterium] eligens group	9.852552122120626e-4	0.001077287629572641	0.16514133260526528	1	1
Group2_vs_Group1	Lachnospira	1.3885623849580462e-4	5.886719315383823e-4	0.16561040558333084	1	1
Group2_vs_Group1	[Eubacterium] ventriosum group	8.118313279423178e-6	2.2816655793273516e-5	0.7042369807568736	1	1
Group2_vs_Group1	Dorea	0.00879141511061432	0.005763740082339795	-0.8146049659083641	1	1
